n,input_signal,filtered_signal,
242,0.11187577247619629,-1.011939525604248,
243,0.00970304012298584,-0.9707774519920349,
244,1.0434561967849731,-0.9071406722068787,
245,1.9523217678070068,-0.8220949172973633,
246,1.6072635650634766,-0.7173430919647217,
247,0.4586665630340576,-0.5955632925033569,
248,-0.04155689477920532,-0.46006545424461365,
249,0.6974669694900513,-0.31413719058036804,
250,1.648797869682312,-0.1608300805091858,
251,1.4869863986968994,-0.003371207509189844,
252,0.29140836000442505,0.15443508327007294,
253,-0.552811861038208,0.3084311783313751,
254,-0.12831157445907593,0.45478540658950806,
255,0.8412348628044128,0.5903554558753967,
256,0.9238795042037964,0.7123861312866211,
257,-0.17886583507061005,0.8180220723152161,
258,-1.244573712348938,0.9043630361557007,
259,-1.0937836170196533,0.9690687656402588,
260,-0.09899681806564331,1.0108158588409424,
261,0.29753559827804565,1.0290769338607788,
262,-0.5617964267730713,1.0235525369644165,
263,-1.7027230262756348,0.9940106272697449,
264,-1.7661333084106445,0.9407580494880676,
265,-0.7493731379508972,0.8651289343833923,
266,-0.00802546739578247,0.7693457007408142,
267,-0.5150549411773682,0.6558958888053894,
268,-1.6122782230377197,0.5271656513214111,
269,-1.8547567129135132,0.3857436776161194,
270,-0.8658101558685303,0.23491455614566803,
271,0.17824006080627441,0.07863137871026993,
272,0.05514496564865112,-0.07910638302564621,
273,-0.9377582669258118,-0.23476791381835938,
274,-1.3683631420135498,-0.38515183329582214,
275,-0.510932445526123,-0.5268779993057251,
276,0.71852707862854,-0.6562724709510803,
277,0.9334136247634888,-0.7698965668678284,
278,0.05103771388530731,-0.8651416301727295,
279,-0.6058151721954346,-0.9402117133140564,
280,-0.010469019412994385,-0.9936023950576782,
281,1.2458385229110718,-1.023801565170288,
282,1.7086875438690186,-1.0296591520309448,
283,0.9227475523948669,-1.0109776258468628,
284,0.012877881526947021,-0.9685948491096497,
285,0.23799210786819458,-0.9038524031639099,
286,1.373748779296875,-0.818119466304779,
287,1.9987854957580566,-0.7129553556442261,
288,1.3176757097244263,-0.5906552672386169,
289,0.18123793601989746,-0.4544203281402588,
290,-0.004375457763671875,-0.3078605830669403,
291,0.9190660715103149,-0.1543830782175064,
292,1.66103196144104,0.0028437664732337,
293,1.1402828693389893,0.160404235124588,
294,-0.1245751678943634,0.3143623471260071,
295,-0.6771345138549805,0.46065452694892883,
296,0.012152716517448425,0.5957620739936829,
297,0.8706771731376648,0.7168984413146973,
298,0.6043225526809692,0.8215797543525696,
299,-0.6374964714050293,0.9072198271751404,
300,-1.449122667312622,0.9713541865348816,
301,-0.9677246809005737,1.0122798681259155,
302,0.02375847101211548,1.0293480157852173,
303,0.10511624813079834,1.0225776433944702,
304,-0.9555096626281738,0.9921172857284546,
305,-1.9009523391723633,0.938254714012146,
306,-1.5959062576293945,0.8619585037231445,
307,-0.4814547896385193,0.7652364373207092,
308,-0.008287966251373291,0.650809645652771,
309,-0.7745687961578369,0.5214745998382568,
310,-1.7588977813720703,0.3798941373825073,
311,-1.6316070556640625,0.2290182113647461,
312,-0.4624084532260895,0.07249416410923004,
313,0.3668084740638733,-0.08555177599191666,
314,-0.06771165132522583,-0.24118945002555847,
315,-1.049559473991394,-0.39105725288391113,
316,-1.1452969312667847,-0.5320650935173035,
317,-0.04747858643531799,-0.6609147787094116,
318,1.0262901782989502,-0.7741615772247314,
319,0.891329288482666,-0.8688312768936157,
320,-0.08871331810951233,-0.9428942203521729,
321,-0.47293615341186523,-0.9950641989707947,
322,0.40385517477989197,-1.0242475271224976,
323,1.573384165763855,-1.0293992757797241,
324,1.6728696823120117,-1.0100096464157104,
325,0.6900875568389893,-0.9666146636009216,
326,-0.0234946608543396,-0.9006801247596741,
327,0.5110436677932739,-0.8139939308166504,
328,1.6426270008087158,-0.708317220211029,
329,1.92464280128479,-0.5856955647468567,
330,0.9710797071456909,-0.4489704370498657,
331,-0.04782247543334961,-0.30176207423210144,
332,0.09440529346466064,-0.14785857498645782,
333,1.1084537506103516,0.009296384640038013,
334,1.5632292032241821,0.16646724939346313,
335,0.7248355150222778,0.320116251707077,
336,-0.4980617165565491,0.4662924110889435,
337,-0.7162763476371765,0.6011614203453064,
338,0.16170985996723175,0.7216127514839172,
339,0.8167453408241272,0.8252584934234619,
340,0.21611186861991882,0.9099243879318237,
341,-1.0569450855255127,0.97336745262146,
342,-1.5470647811889648,1.0136550664901733,
343,-0.7900663018226624,1.029778003692627,
344,0.0954669713973999,1.0217560529708862,
345,-0.15317702293395996,0.9901243448257446,
