n,input_fft_mag,output_freq,
423,323.6130676269531,4130.859375,
424,218.9627227783203,4140.625,
425,320.22955322265625,4150.390625,
426,262.3961181640625,4160.15625,
427,192.97122192382812,4169.921875,
428,218.134033203125,4179.6875,
429,255.97434997558594,4189.453125,
430,358.46337890625,4199.21875,
431,408.6086120605469,4208.984375,
432,174.93821716308594,4218.75,
433,278.5744934082031,4228.515625,
434,290.02886962890625,4238.28125,
435,279.38433837890625,4248.046875,
436,309.5358581542969,4257.8125,
437,370.0381164550781,4267.578125,
438,254.11280822753906,4277.34375,
439,357.8462219238281,4287.109375,
440,91.65461730957031,4296.875,
441,217.64634704589844,4306.640625,
442,240.91481018066406,4316.40625,
443,169.76864624023438,4326.171875,
444,400.0864562988281,4335.9375,
445,226.0162353515625,4345.703125,
446,262.5666809082031,4355.46875,
447,237.20555114746094,4365.234375,
448,291.15423583984375,4375.0,
449,195.3928985595703,4384.765625,
450,175.16128540039062,4394.53125,
451,292.9672546386719,4404.296875,
452,316.6451110839844,4414.0625,
453,205.98233032226562,4423.828125,
454,367.89495849609375,4433.59375,
455,298.72711181640625,4443.359375,
456,370.0495300292969,4453.125,
457,703.9485473632812,4462.890625,
458,121.27945709228516,4472.65625,
459,289.6205749511719,4482.421875,
460,122.37653350830078,4492.1875,
461,258.8053894042969,4501.953125,
462,261.7470703125,4511.71875,
463,289.01788330078125,4521.484375,
464,289.0231018066406,4531.25,
465,204.7659149169922,4541.015625,
466,256.4966735839844,4550.78125,
467,185.2586669921875,4560.546875,
468,333.0608215332031,4570.3125,
469,398.0904541015625,4580.078125,
470,202.0173797607422,4589.84375,
471,179.840087890625,4599.609375,
472,267.0517578125,4609.375,
473,280.5766906738281,4619.140625,
474,262.5252685546875,4628.90625,
475,215.9551239013672,4638.671875,
476,139.40725708007812,4648.4375,
477,277.0690002441406,4658.203125,
478,303.7486877441406,4667.96875,
479,314.32403564453125,4677.734375,
480,337.230712890625,4687.5,
481,272.3849792480469,4697.265625,
482,398.60595703125,4707.03125,
483,671.0043334960938,4716.796875,
484,59.089054107666016,4726.5625,
485,126.84989166259766,4736.328125,
486,208.71571350097656,4746.09375,
487,184.9679412841797,4755.859375,
488,207.57293701171875,4765.625,
489,113.41015625,4775.390625,
490,105.02639770507812,4785.15625,
491,281.8236999511719,4794.921875,
492,229.9840545654297,4804.6875,
493,123.00727081298828,4814.453125,
494,206.70928955078125,4824.21875,
495,163.1493377685547,4833.984375,
496,324.40362548828125,4843.75,
497,257.3685302734375,4853.515625,
498,186.49072265625,4863.28125,
499,239.28904724121094,4873.046875,
500,239.53515625,4882.8125,
501,203.5967559814453,4892.578125,
502,183.56927490234375,4902.34375,
503,134.05477905273438,4912.109375,
504,237.40664672851562,4921.875,
505,238.01043701171875,4931.640625,
506,180.18875122070312,4941.40625,
507,134.48060607910156,4951.171875,
508,200.38250732421875,4960.9375,
509,259.9018249511719,4970.703125,
510,182.71351623535156,4980.46875,
511,206.31015014648438,4990.234375,
512,129.49517822265625,5000.0,
513,196.49551391601562,5009.765625,
514,277.2091064453125,5019.53125,
515,182.656005859375,5029.296875,
516,244.84017944335938,5039.0625,
517,244.5410919189453,5048.828125,
518,295.3011474609375,5058.59375,
519,248.3436279296875,5068.359375,
520,185.70558166503906,5078.125,
521,129.89381408691406,5087.890625,
522,256.52960205078125,5097.65625,
523,185.40054321289062,5107.421875,
524,221.46839904785156,5117.1875,
525,171.9600067138672,5126.953125,
526,226.62120056152344,5136.71875,
527,296.59228515625,5146.484375,
528,298.1609802246094,5156.25,
529,221.88067626953125,5166.015625,
530,160.52171325683594,5175.78125,
531,241.076416015625,5185.546875,
532,121.41683959960938,5195.3125,
533,327.21453857421875,5205.078125,
534,38.542240142822266,5214.84375,
