n,adc_buffer
789,-0.07968093454837799
790,-0.23105810582637787
791,-0.3770003020763397
792,-0.5141027569770813
793,-0.6391124129295349
794,-0.7491363883018494
795,-0.8415391445159912
796,-0.91420978307724
797,-0.9653762578964233
798,-0.9939069747924805
799,-0.9990593791007996
800,-0.9807852506637573
801,-0.9394415616989136
802,-0.8760700821876526
803,-0.7920916676521301
804,-0.6895492076873779
805,-0.5707700252532959
806,-0.43861624598503113
807,-0.29614531993865967
808,-0.1467304676771164
809,0.006135770119726658
810,0.15885813534259796
811,0.3078438639640808
812,0.4496113359928131
813,0.5808030366897583
814,0.6983762383460999
815,0.7995222210884094
816,0.8819212317466736
817,0.9435756802558899
818,0.983105480670929
819,0.9995105862617493
820,0.9924795031547546
821,0.9621032476425171
822,0.909168004989624
823,0.8348471522331238
824,0.7409511208534241
825,0.6296263933181763
826,0.5035383701324463
827,0.3656061291694641
828,0.21910123527050018
829,0.0674426481127739
830,-0.08578535914421082
831,-0.2370191514492035
832,-0.3826834261417389
833,-0.5193462371826172
834,-0.6438315510749817
835,-0.7531726360321045
836,-0.8448535799980164
837,-0.9166618585586548
838,-0.9669764637947083
839,-0.9945458173751831
840,-0.9987959861755371
841,-0.9795536994934082
842,-0.9373431205749512
843,-0.8730785250663757
844,-0.7883464097976685
845,-0.6850707530975342
846,-0.5657318234443665
847,-0.43308568000793457
848,-0.2902846932411194
849,-0.14065559208393097
850,0.012271540239453316
851,0.16489818692207336
852,0.3136703372001648
853,0.4550643563270569
854,0.5857978463172913
855,0.7027415037155151
856,0.803207516670227
857,0.8847804069519043
858,0.9456073045730591
859,0.9841915369033813
860,0.99969881772995
861,0.9916926622390747
862,0.9604337811470032
863,0.9065837264060974
864,0.8314695954322815
865,0.7368026971817017
866,0.6248595118522644
867,0.498218297958374
868,0.3598950505256653
869,0.21310630440711975
870,0.06132074072957039
871,-0.09189528971910477
872,-0.24296854436397552
873,-0.3883267045021057
874,-0.5245794057846069
875,-0.6485022306442261
876,-0.7572088241577148
877,-0.8481043577194214
878,-0.9191138744354248
879,-0.9685038328170776
880,-0.9951847195625305
881,-0.9984567761421204
882,-0.9783197641372681
883,-0.9351701736450195
884,-0.8700928092002869
885,-0.7845418453216553
886,-0.6806010007858276
887,-0.5606510639190674
888,-0.4275550842285156
889,-0.28440219163894653
890,-0.13458071649074554
891,0.01840638555586338
892,0.17095007002353668
893,0.3194846510887146
894,0.46052804589271545
895,0.5907485485076904
896,0.7071067690849304
897,0.8068323731422424
898,0.8876396417617798
899,0.9475677013397217
900,0.9852776527404785
901,0.9998117685317993
902,0.9909042119979858
903,0.9586888551712036
904,0.9039943814277649
905,0.8280361890792847
906,0.7326542735099792
907,0.62004554271698
908,0.49289819598197937
909,0.35415685176849365
910,0.20711137354373932
911,0.05519420653581619
912,-0.0980171412229538
913,-0.2489113062620163
914,-0.393981009721756
915,-0.5297834873199463
916,-0.6531728506088257
917,-0.7611880302429199
918,-0.8513551950454712
919,-0.9214966893196106
920,-0.9700312614440918
921,-0.9957486391067505
922,-0.9981181025505066
923,-0.9770122766494751
924,-0.9329970479011536
925,-0.8670358657836914
926,-0.7807372212409973
927,-0.6760799884796143
928,-0.5555702447891235
929,-0.42199230194091797
930,-0.2785196900367737
931,-0.1284956932067871
932,0.024541230872273445
933,0.1769890934228897
934,0.325298935174942
