n,input_signal,filtered_signal,output_freq,input_fft_mag,filtered_fft_mag,
1783,-0.5889508724212646,2.603268623352051,0.21366405487060547,0.4360200762748718,6072.0,
1784,1.1808245182037354,-0.24700218439102173,0.5738085508346558,0.4360666573047638,6080.0,
1785,-0.5839245319366455,2.663278102874756,0.21502482891082764,0.43608957529067993,6088.0,
1786,1.1791648864746094,-0.21913832426071167,0.5726519227027893,0.43608611822128296,6096.0,
1787,-0.5784988403320312,2.7237157821655273,0.21636664867401123,0.4360734820365906,6104.0,
1788,1.1786820888519287,-0.18805992603302002,0.5715145468711853,0.436039537191391,6112.0,
1789,-0.5722670555114746,2.7847392559051514,0.21769750118255615,0.4359634816646576,6120.0,
1790,1.1765291690826416,-0.1541823148727417,0.5703991055488586,0.43586912751197815,6128.0,
1791,-0.5656428337097168,2.8459808826446533,0.21900177001953125,0.43575647473335266,6136.0,
1792,1.1744866371154785,-0.11715245246887207,0.569322407245636,0.43559733033180237,6144.0,
1793,-0.5604257583618164,2.906801700592041,0.22029554843902588,0.4354143440723419,6152.0,
1794,1.173107624053955,-0.0766679048538208,0.5682737827301025,0.435205340385437,6160.0,
1795,-0.554999828338623,2.9677236080169678,0.22156500816345215,0.4349577724933624,6168.0,
1796,1.1717725992202759,-0.032895565032958984,0.5672503709793091,0.43467530608177185,6176.0,
1797,-0.5488557815551758,3.028432846069336,0.22282004356384277,0.4343741834163666,6184.0,
1798,1.1700457334518433,0.014003157615661621,0.5662720203399658,0.4340265691280365,6192.0,
1799,-0.5433592796325684,3.088475465774536,0.2240620255470276,0.43365898728370667,6200.0,
1800,1.168689250946045,0.06463301181793213,0.5653579831123352,0.4332592785358429,6208.0,
1801,-0.5372934341430664,3.14805269241333,0.22528034448623657,0.43281835317611694,6216.0,
1802,1.1670680046081543,0.11825144290924072,0.5645492672920227,0.4323822855949402,6224.0,
1803,-0.5319881439208984,3.2065954208374023,0.22647830843925476,0.431894987821579,6232.0,
1804,1.1653728485107422,0.1753784418106079,0.5638600587844849,0.43139758706092834,6240.0,
1805,-0.5263392925262451,3.264242649078369,0.2276766300201416,0.43086934089660645,6248.0,
1806,1.1639947891235352,0.23606938123703003,0.5634093284606934,0.43031978607177734,6256.0,
1807,-0.5203554630279541,3.3206801414489746,0.22885805368423462,0.4297645688056946,6264.0,
1808,1.1620407104492188,0.2999637722969055,0.563387393951416,0.4291948676109314,6272.0,
1809,-0.514854907989502,3.375779151916504,0.23003077507019043,0.4286080300807953,6280.0,
1810,1.160501480102539,0.3674640655517578,0.5643273591995239,0.42800599336624146,6288.0,
1811,-0.5109682083129883,3.4285712242126465,0.23119735717773438,0.4274178743362427,6296.0,
1812,1.159113883972168,0.43831467628479004,0.5681360960006714,0.426816463470459,6304.0,
1813,-0.5043032169342041,3.4805057048797607,0.23236215114593506,0.42621904611587524,6312.0,
1814,1.1576085090637207,0.5124713778495789,0.5921187400817871,0.42562878131866455,6320.0,
