n,input_signal,output_freq,output_fft_mag
292,0.00045697911991737783,2336.0,4.6887322241673246e-05
293,0.0002852410252671689,2344.0,3.880958320223726e-05
294,-5.896694347029552e-05,2352.0,2.5884937713271938e-05
295,4.815834836335853e-05,2360.0,4.841716872761026e-05
296,0.000533648650161922,2368.0,2.162757664336823e-05
297,0.0007560928352177143,2376.0,3.4965800296049565e-05
298,-0.0005597836570814252,2384.0,4.914980672765523e-05
299,0.0005717601161450148,2392.0,3.64053194061853e-05
300,-0.00029652126249857247,2400.0,4.4645683374255896e-05
301,0.0005476674996316433,2408.0,8.753686415730044e-06
302,-0.0009029509965330362,2416.0,4.7491808800259605e-05
303,-4.7143083065748215e-05,2424.0,8.516840171068907e-05
304,-0.00029601831920444965,2432.0,1.627636379453179e-06
305,-0.0004017016035504639,2440.0,4.7716770495753735e-05
306,-3.756993100978434e-05,2448.0,6.345965812215582e-05
307,-0.00019218619854655117,2456.0,3.159693005727604e-05
308,-5.395903281169012e-05,2464.0,2.1355883291107602e-05
309,-0.000111199333332479,2472.0,6.665867840638384e-05
310,1.4150726201478392e-05,2480.0,6.590289558516815e-05
311,-2.365085128985811e-05,2488.0,7.304838072741404e-05
312,-0.0001243498409166932,2496.0,8.32599398563616e-05
313,1.763135878718458e-05,2504.0,0.0001575081842020154
314,-0.00014701626787427813,2512.0,8.000525122042745e-05
315,-3.99248419853393e-05,2520.0,9.242511441698298e-05
316,-7.431833364535123e-05,2528.0,0.00014432883472181857
317,-9.666982805356383e-05,2536.0,0.00012892691302113235
318,7.35250796424225e-06,2544.0,0.0001273602683795616
319,-6.50451474939473e-05,2552.0,6.178337207529694e-05
320,1.727157723507844e-06,2560.0,0.00012852436339017004
321,-6.11211871728301e-05,2568.0,0.00012645419337786734
322,-4.325476766098291e-06,2576.0,0.00011729399557225406
323,3.541174373822287e-05,2584.0,5.3695413953391835e-05
324,-6.224659591680393e-05,2592.0,4.3129330151714385e-05
325,-9.62207923294045e-06,2600.0,3.979416942456737e-05
326,-8.73181561473757e-05,2608.0,0.00010560848022578284
327,-7.896681199781597e-05,2616.0,7.626989827258512e-05
328,-6.443398888222873e-06,2624.0,3.7909569073235616e-05
329,-5.643914482789114e-05,2632.0,2.2469888790510595e-05
330,2.4929096980486065e-05,2640.0,3.625351746450178e-05
331,-5.264738138066605e-05,2648.0,7.74741274653934e-05
332,-1.7217884305864573e-05,2656.0,9.402930299984291e-05
333,-1.25944206956774e-05,2664.0,2.62500652752351e-05
334,-5.362603405956179e-05,2672.0,7.848935638321564e-05
335,4.7326902858912945e-06,2680.0,6.396491517079994e-05
336,-6.2361235904973e-05,2688.0,8.268609963124618e-05
337,-4.805310527444817e-05,2696.0,9.122599294641986e-05
338,1.6284080629702657e-05,2704.0,6.686994311166927e-05
339,-1.7556587408762425e-05,2712.0,9.644321107771248e-05
340,-4.337504651630297e-05,2720.0,9.539054008200765e-05
341,-1.1440899470471777e-05,2728.0,4.6651817683596164e-05
342,2.9672413802472875e-05,2736.0,0.00017611445218790323
343,-6.980562466196716e-05,2744.0,9.450761717744172e-05
344,2.6505673304200172e-05,2752.0,0.00025164286489598453
345,-2.1909749193582684e-05,2760.0,0.0008119280682876706
346,-8.263290510512888e-05,2768.0,0.00034984920057468116
347,-4.087901106686331e-05,2776.0,0.000213748833630234
348,-2.1348098016460426e-05,2784.0,0.000608817848842591
349,-4.207147503620945e-05,2792.0,0.0002417853393126279
350,-7.770257798256353e-05,2800.0,0.00013989588478580117
351,-5.7141707657137886e-05,2808.0,0.00016224227147176862
352,-0.00010021777416113764,2816.0,6.655079778283834e-05
353,1.4700257452204823e-05,2824.0,5.620907177217305e-05
354,0.00013655005022883415,2832.0,8.722716302145272e-05
355,8.012121725187171e-06,2840.0,5.496629819390364e-05
356,6.631766154896468e-05,2848.0,2.7680813218466938e-05
357,-3.8418074836954474e-05,2856.0,0.00010672325151972473
358,-0.00030660288757644594,2864.0,4.062896914547309e-05
359,-0.00010606079013086855,2872.0,6.65032712277025e-05
360,4.3658659706125036e-05,2880.0,7.523823296651244e-05
361,-0.0002547370095271617,2888.0,5.0507831474533305e-05
362,7.247587200254202e-05,2896.0,3.079930684179999e-05
363,-0.0002831525052897632,2904.0,2.4533734176657163e-05
364,0.00047977676149457693,2912.0,2.0008288629469462e-05
365,-4.591344259097241e-05,2920.0,3.1239542295224965e-05
366,-0.00016454182332381606,2928.0,1.5774516214150935e-05
367,0.00017729325918480754,2936.0,4.989907029084861e-05
368,-2.865138594643213e-05,2944.0,2.9364358852035366e-05
369,8.102577703539282e-05,2952.0,2.288518226123415e-05
370,0.00019094484741799533,2960.0,5.880731259821914e-05
371,8.714414434507489e-05,2968.0,1.391671958117513e-05
372,8.149887435138226e-05,2976.0,2.9962662665639073e-05
373,-5.029689782531932e-05,2984.0,6.108357047196478e-05
374,2.3292333935387433e-05,2992.0,7.836915756342933e-05
375,4.761064701597206e-05,3000.0,1.3910565030528232e-05
376,-3.997384919784963e-05,3008.0,0.00011961893324041739
377,-1.4747565728612244e-05,3016.0,0.00013259175466373563
378,-3.1255767680704594e-05,3024.0,0.00028214958729222417
379,-5.6527478591306135e-05,3032.0,8.786035323282704e-05
380,3.548883250914514e-05,3040.0,0.00010948964336421341
381,3.526036744005978e-05,3048.0,0.00011013248877134174
382,5.4392839956562966e-05,3056.0,0.00015362979320343584
383,-8.931237971410155e-07,3064.0,0.00011419854126870632
384,-9.212344593834132e-07,3072.0,0.0001022945434669964
385,5.517472163774073e-05,3080.0,2.0533381757559255e-05
386,-2.987437073898036e-05,3088.0,4.939438804285601e-05
387,4.782968244398944e-05,3096.0,4.000478656962514e-05
388,-9.50719004322309e-06,3104.0,7.033102156128734e-05
389,-4.4352109398460016e-05,3112.0,4.2813215259229764e-05
390,7.913699664641172e-05,3120.0,0.00010295379615854472
391,-1.4740126061951742e-05,3128.0,7.885255763540044e-05
392,4.224718941259198e-05,3136.0,1.8480046492186375e-05
393,3.7047539080958813e-06,3144.0,7.298890068341279e-06
